Date,Portfolio Value
2015-03-05 00:00:00+05:30,100000.0
2015-03-09 00:00:00+05:30,98566.18859856769
2015-03-10 00:00:00+05:30,97679.4552978245
2015-03-11 00:00:00+05:30,96863.61734084832
2015-03-12 00:00:00+05:30,96621.56555911426
2015-03-13 00:00:00+05:30,96134.13444448919
2015-03-16 00:00:00+05:30,97089.09360607619
2015-03-17 00:00:00+05:30,97261.19268256938
2015-03-18 00:00:00+05:30,96796.33328231609
2015-03-19 00:00:00+05:30,96618.3185630367
2015-03-20 00:00:00+05:30,95922.99523242809
2015-03-23 00:00:00+05:30,95191.24073586996
2015-03-24 00:00:00+05:30,94816.62230523647
2015-03-25 00:00:00+05:30,94459.6606551944
2015-03-26 00:00:00+05:30,93768.20176263833
2015-03-27 00:00:00+05:30,93212.32451592297
2015-03-30 00:00:00+05:30,93250.14214175651
2015-03-31 00:00:00+05:30,93869.89746284806
2015-04-01 00:00:00+05:30,93937.36621747377
2015-04-06 00:00:00+05:30,94623.02086781106
2015-04-07 00:00:00+05:30,95483.18258273664
2015-04-08 00:00:00+05:30,95774.4068332496
2015-04-09 00:00:00+05:30,96544.89964047166
2015-04-10 00:00:00+05:30,97135.993317929
2015-04-13 00:00:00+05:30,97925.02248887383
2015-04-15 00:00:00+05:30,98115.1505879905
2015-04-16 00:00:00+05:30,98017.1713414716
2015-04-17 00:00:00+05:30,96884.69258950162
2015-04-20 00:00:00+05:30,96156.32543244235
2015-04-21 00:00:00+05:30,94960.78534960735
2015-04-22 00:00:00+05:30,94539.54536373199
2015-04-23 00:00:00+05:30,94408.66230212274
2015-04-24 00:00:00+05:30,93669.28573602492
2015-04-27 00:00:00+05:30,92740.09919750842
2015-04-28 00:00:00+05:30,92360.79252061085
2015-04-29 00:00:00+05:30,92244.90114189436
2015-04-30 00:00:00+05:30,92104.22739513233
2015-05-04 00:00:00+05:30,92945.45988259923
2015-05-05 00:00:00+05:30,93955.896160651
2015-05-06 00:00:00+05:30,93014.73392467533
2015-05-07 00:00:00+05:30,92161.95095247006
2015-05-08 00:00:00+05:30,92257.01729635485
2015-05-11 00:00:00+05:30,93275.48944720296
2015-05-12 00:00:00+05:30,93442.00574840973
2015-05-13 00:00:00+05:30,93100.20799345645
2015-05-14 00:00:00+05:30,93221.32533400826
2015-05-15 00:00:00+05:30,93313.31252320483
2015-05-18 00:00:00+05:30,93749.0354311843
2015-05-19 00:00:00+05:30,94335.27256873169
2015-05-20 00:00:00+05:30,94906.93382537684
2015-05-21 00:00:00+05:30,94867.92417482787
2015-05-22 00:00:00+05:30,95461.37900461521
2015-05-25 00:00:00+05:30,95411.7296274873
2015-05-26 00:00:00+05:30,95490.8163389951
2015-05-27 00:00:00+05:30,94537.44832624146
2015-05-28 00:00:00+05:30,94343.79516620803
2015-05-29 00:00:00+05:30,94746.10951276358
2015-06-01 00:00:00+05:30,94485.0245996319
2015-06-02 00:00:00+05:30,94193.2023716221
2015-06-03 00:00:00+05:30,93102.34839127355
2015-06-04 00:00:00+05:30,92650.12990023963
2015-06-05 00:00:00+05:30,92474.84280591866
2015-06-08 00:00:00+05:30,91842.35505985723
2015-06-09 00:00:00+05:30,91573.1758038988
2015-06-10 00:00:00+05:30,92187.0110964403
2015-06-11 00:00:00+05:30,91704.99988116178
2015-06-12 00:00:00+05:30,91729.12372866279
2015-06-15 00:00:00+05:30,91359.16105525452
2015-06-16 00:00:00+05:30,91423.35773392228
2015-06-17 00:00:00+05:30,91859.03870587205
2015-06-18 00:00:00+05:30,92344.27646341045
2015-06-19 00:00:00+05:30,92576.03545478116
2015-06-22 00:00:00+05:30,93674.4464928942
2015-06-23 00:00:00+05:30,94408.69523851403
2015-06-24 00:00:00+05:30,94599.54085921762
2015-06-25 00:00:00+05:30,94761.06213073093
2015-06-26 00:00:00+05:30,94918.62729326398
2015-06-29 00:00:00+05:30,94608.84380270402
2015-06-30 00:00:00+05:30,94486.9878719504
2015-07-01 00:00:00+05:30,95506.08342844811
2015-07-02 00:00:00+05:30,95686.59800650319
2015-07-03 00:00:00+05:30,96049.83897692675
2015-07-06 00:00:00+05:30,96202.40104596567
2015-07-07 00:00:00+05:30,96182.06393292465
2015-07-08 00:00:00+05:30,96182.86695863938
2015-07-09 00:00:00+05:30,96160.88913492391
2015-07-10 00:00:00+05:30,95788.95616861858
2015-07-13 00:00:00+05:30,96260.30939408512
2015-07-14 00:00:00+05:30,96461.32333050137
2015-07-15 00:00:00+05:30,96670.34719223199
2015-07-16 00:00:00+05:30,97295.51685623557
2015-07-17 00:00:00+05:30,97852.35893172423
2015-07-20 00:00:00+05:30,98033.5209394279
2015-07-21 00:00:00+05:30,97523.3618241687
2015-07-22 00:00:00+05:30,97956.75829160375
2015-07-23 00:00:00+05:30,97946.86228366246
2015-07-24 00:00:00+05:30,99138.37384611071
2015-07-27 00:00:00+05:30,98142.45744020387
2015-07-28 00:00:00+05:30,98072.80472180272
2015-07-29 00:00:00+05:30,97729.68432255754
2015-07-30 00:00:00+05:30,98029.35067461111
2015-07-31 00:00:00+05:30,98081.55605498716
2015-08-03 00:00:00+05:30,98110.76722835694
2015-08-04 00:00:00+05:30,98297.7989908444
2015-08-05 00:00:00+05:30,100082.96574874721
2015-08-06 00:00:00+05:30,100668.24549135257
2015-08-07 00:00:00+05:30,100774.61189637789
2015-08-10 00:00:00+05:30,100748.98737439798
2015-08-11 00:00:00+05:30,100139.25908507121
2015-08-12 00:00:00+05:30,99045.19814393338
2015-08-13 00:00:00+05:30,98909.78866784026
2015-08-14 00:00:00+05:30,99296.09751423573
2015-08-17 00:00:00+05:30,99726.6172072741
2015-08-18 00:00:00+05:30,99916.76542192038
2015-08-19 00:00:00+05:30,100419.9739799704
2015-08-20 00:00:00+05:30,99715.29818239134
2015-08-21 00:00:00+05:30,99072.09657406407
2015-08-24 00:00:00+05:30,95892.07021787553
2015-08-25 00:00:00+05:30,94583.03817118329
2015-08-26 00:00:00+05:30,93733.71433373119
2015-08-27 00:00:00+05:30,93242.4126258686
2015-08-28 00:00:00+05:30,94019.18626546084
2015-08-31 00:00:00+05:30,94658.08970052528
2015-09-01 00:00:00+05:30,93580.20285922918
2015-09-02 00:00:00+05:30,92454.54501778776
2015-09-03 00:00:00+05:30,92788.3341814398
2015-09-04 00:00:00+05:30,92390.35777177844
2015-09-07 00:00:00+05:30,91813.59885685683
2015-09-08 00:00:00+05:30,91211.6987108955
2015-09-09 00:00:00+05:30,91466.70192987115
2015-09-10 00:00:00+05:30,91743.88018400728
2015-09-11 00:00:00+05:30,92277.66688649717
2015-09-14 00:00:00+05:30,92654.26050165608
2015-09-15 00:00:00+05:30,93070.5064259072
2015-09-16 00:00:00+05:30,93505.00938534958
2015-09-18 00:00:00+05:30,93556.61335334975
2015-09-21 00:00:00+05:30,93572.44995243454
2015-09-22 00:00:00+05:30,93245.74899205283
2015-09-23 00:00:00+05:30,93122.6965576893
2015-09-24 00:00:00+05:30,92609.30028966197
2015-09-28 00:00:00+05:30,92212.61149847251
2015-09-29 00:00:00+05:30,92111.20509594254
2015-09-30 00:00:00+05:30,92994.44986026085
2015-10-01 00:00:00+05:30,93305.37280703525
2015-10-05 00:00:00+05:30,94211.14126257933
2015-10-06 00:00:00+05:30,94420.99613860971
2015-10-07 00:00:00+05:30,94859.08934765533
2015-10-08 00:00:00+05:30,95382.81875648683
2015-10-09 00:00:00+05:30,95415.01161343901
2015-10-12 00:00:00+05:30,95119.421002531
2015-10-13 00:00:00+05:30,95696.59917030533
2015-10-14 00:00:00+05:30,95455.05601572424
2015-10-15 00:00:00+05:30,95491.95659659721
2015-10-16 00:00:00+05:30,96168.27862459175
2015-10-19 00:00:00+05:30,96303.96240640336
2015-10-20 00:00:00+05:30,96476.01541836807
2015-10-21 00:00:00+05:30,96618.45425105702
2015-10-23 00:00:00+05:30,96672.44656998602
2015-10-26 00:00:00+05:30,96764.50417467128
2015-10-27 00:00:00+05:30,96671.76488292462
2015-10-28 00:00:00+05:30,95991.97205322822
2015-10-29 00:00:00+05:30,95573.98201812894
2015-10-30 00:00:00+05:30,95440.45828031182
2015-11-02 00:00:00+05:30,95351.47014510841
2015-11-03 00:00:00+05:30,95356.45023212963
2015-11-04 00:00:00+05:30,95717.69152475215
2015-11-05 00:00:00+05:30,94936.75982645049
2015-11-06 00:00:00+05:30,94857.7570821658
2015-11-09 00:00:00+05:30,94331.84427947336
2015-11-10 00:00:00+05:30,93792.61068798046
